h_date;h_%;d_date;d_%;M_date;M_%;Y_date;Y_%
;;;;;;2010;42.20
;;;;;;2011;47.80
;;;;;;2012;46.00
;;;;;;2013;44.00
;;;;;;2014;55.50
;;;;;;2015;42.10
;;;;;;2016;62.40
;;;;;;2017;44.50
;;;;;;2018;53.90
;;;;;;2019;35.50
;;;;;;2020;39.00
;;;;;;2021;48.20
;;;;;;2022;42.90
;;;;;;2009;50.60
;;;;;;2010;44.70
;;;;;;2011;47.60
;;;;;;2012;48.80
;;;;;;2013;45.30
;;;;;;2014;55.40
;;;;;;2015;46.80
;;;;;;2016;63.50
;;;;;;2017;46.70
;;;;;;2018;57.20
;;;;;;2019;37.50
;;;;;;2020;43.70
;;;;;;2021;50.10
;;;;;;2022;45.10
