h_date;h_Anz.;d_date;d_Anz.;M_date;M_Anz.;Y_date;Y_Anz.
;;;;;;1998;729967.00
;;;;;;1999;729341.00
;;;;;;2000;759372.00
;;;;;;2001;757626.00
;;;;;;2002;722661.00
;;;;;;2003;697027.00
;;;;;;2005;688454.00
;;;;;;2006;720662.00
;;;;;;2007;755553.00
;;;;;;2008;755180.00
;;;;;;2009;713182.00
;;;;;;2010;725581.00
;;;;;;2011;697020.00
;;;;;;2012;678600.00
;;;;;;2013;673204.00
;;;;;;2014;682867.00
;;;;;;2015;642673.00
;;;;;;2016;654843.00
;;;;;;2017;663522.00
;;;;;;2018;662414.00
;;;;;;2019;662632.00
;;;;;;2020;462666.00
;;;;;;2021;582085.00
;;;;;;1997;118235.00
;;;;;;1998;123867.00
;;;;;;1999;124725.00
;;;;;;2000;129263.00
;;;;;;2001;125298.00
;;;;;;2002;122828.00
;;;;;;2003;117253.00
;;;;;;2005;127934.00
;;;;;;2006;133109.00
;;;;;;2007;143914.00
;;;;;;2008;144269.00
;;;;;;2009;124705.00
;;;;;;2010;127056.00
;;;;;;2011;132492.00
;;;;;;2012;130971.00
;;;;;;2013;144193.00
;;;;;;2014;149597.00
;;;;;;2015;145222.00
;;;;;;2016;162852.00
;;;;;;2017;181676.00
;;;;;;2018;177700.00
;;;;;;2019;174610.00
;;;;;;2020;105395.00
;;;;;;2021;133625.00
