h_date;h_Anz.;d_date;d_Anz.;M_date;M_Anz.;Y_date;Y_Anz.
;;;;;;1999;115.00
;;;;;;2000;115.00
;;;;;;2001;115.00
;;;;;;2002;112.00
;;;;;;2003;112.00
;;;;;;2004;115.00
;;;;;;2005;115.00
;;;;;;2006;115.00
;;;;;;2007;115.00
;;;;;;2008;105.00
;;;;;;2009;95.00
;;;;;;2010;95.00
;;;;;;2011;95.00
;;;;;;2012;105.00
;;;;;;2013;115.00
;;;;;;2014;115.00
;;;;;;2015;115.00
;;;;;;2016;115.00
;;;;;;2017;115.00
;;;;;;2018;115.00
;;;;;;2019;115.00
;;;;;;2020;115.00
;;;;;;2021;115.00
;;;;;;2022;110.00
;;;;;;1998;112.00
;;;;;;1999;115.00
;;;;;;2000;115.00
;;;;;;2001;115.00
;;;;;;2002;112.00
;;;;;;2003;112.00
;;;;;;2004;115.00
;;;;;;2005;115.00
;;;;;;2006;115.00
;;;;;;2007;115.00
;;;;;;2008;105.00
;;;;;;2009;95.00
;;;;;;2010;95.00
;;;;;;2011;95.00
;;;;;;2012;105.00
;;;;;;2013;115.00
;;;;;;2014;115.00
;;;;;;2015;115.00
;;;;;;2016;115.00
;;;;;;2017;115.00
;;;;;;2018;115.00
;;;;;;2019;115.00
;;;;;;2020;115.00
;;;;;;2021;115.00
;;;;;;2022;110.00
;;;;;;1998;159.00
;;;;;;1999;159.00
;;;;;;2000;159.00
;;;;;;2001;159.00
;;;;;;2002;159.00
;;;;;;2003;159.00
;;;;;;2004;159.00
;;;;;;2005;159.00
;;;;;;2006;159.00
;;;;;;2007;159.00
;;;;;;2008;149.00
;;;;;;2009;149.00
;;;;;;2010;149.00
;;;;;;2011;144.00
;;;;;;2012;144.00
;;;;;;2013;144.00
;;;;;;2014;144.00
;;;;;;2015;144.00
;;;;;;2016;144.00
;;;;;;2017;144.00
;;;;;;2018;144.00
;;;;;;2019;141.00
;;;;;;2020;141.00
;;;;;;2021;141.00
;;;;;;2022;141.00
;;;;;;1998;159.00
;;;;;;1999;159.00
;;;;;;2000;159.00
;;;;;;2001;159.00
;;;;;;2002;159.00
;;;;;;2003;159.00
;;;;;;2004;159.00
;;;;;;2005;159.00
;;;;;;2006;159.00
;;;;;;2007;159.00
;;;;;;2008;149.00
;;;;;;2009;149.00
;;;;;;2010;149.00
;;;;;;2011;144.00
;;;;;;2012;144.00
;;;;;;2013;144.00
;;;;;;2014;144.00
;;;;;;2015;144.00
;;;;;;2016;144.00
;;;;;;2017;144.00
;;;;;;2018;144.00
;;;;;;2019;141.00
;;;;;;2020;141.00
;;;;;;2021;141.00
;;;;;;2022;141.00
